Postnummer,Datum,Uppskattning,Low_CI,High_CI
58,2020-05-12,0.73,0.27,1.62
38,2020-05-12,0.72,0.14,2.62
15,2020-05-12,1.21,0.33,3.44
83,2020-05-12,0.93,0.3,2.35
85,2020-05-12,0.38,0.02,2.48
56,2020-05-12,0.51,0.08,1.93
47,2020-05-12,1.07,0.15,4.99
17,2020-05-12,0.74,0.33,1.49
37,2020-05-12,0.49,0.13,1.42
88,2020-05-12,,,
62,2020-05-12,0.7,0.06,3.71
39,2020-05-12,0.67,0.08,2.6
65,2020-05-12,0.64,0.15,1.93
66,2020-05-12,0.57,0.07,2.4
31,2020-05-12,0.46,0.07,1.89
87,2020-05-12,0.99,0.12,4.23
51,2020-05-12,0.56,0.09,2.18
91,2020-05-12,,,
68,2020-05-12,0.74,0.12,3.03
33,2020-05-12,0.53,0.07,2.12
69,2020-05-12,0.78,0.13,3.17
94,2020-05-12,0.57,0.03,3.61
76,2020-05-12,0.82,0.08,5.65
50,2020-05-12,0.89,0.22,2.64
86,2020-05-12,0.65,0.05,3.4
96,2020-05-12,,,
95,2020-05-12,,,
89,2020-05-12,0.37,0.01,2.94
67,2020-05-12,,,
98,2020-05-12,,,
92,2020-05-12,,,
20,2020-05-12,,,
10,2020-05-12,,,
21,2020-05-13,0.55,0.35,0.83
23,2020-05-13,0.48,0.25,0.87
25,2020-05-13,0.43,0.18,0.94
77,2020-05-13,1.1,0.25,3.77
36,2020-05-13,0.44,0.01,3.24
26,2020-05-13,0.44,0.21,0.87
90,2020-05-13,0.78,0.27,1.87
52,2020-05-13,0.59,0.14,1.83
29,2020-05-13,0.58,0.21,1.42
43,2020-05-13,0.6,0.32,1.07
19,2020-05-13,1.01,0.51,1.9
97,2020-05-13,0.96,0.22,3.05
72,2020-05-13,0.6,0.19,1.57
27,2020-05-13,0.53,0.19,1.28
59,2020-05-13,0.81,0.22,2.29
53,2020-05-13,0.6,0.12,1.97
79,2020-05-13,0.63,0.17,1.73
46,2020-05-13,0.52,0.13,1.61
11,2020-05-13,0.91,0.63,1.27
28,2020-05-13,0.6,0.18,1.58
55,2020-05-13,0.5,0.08,1.77
70,2020-05-13,0.79,0.25,1.99
30,2020-05-13,0.56,0.11,1.86
41,2020-05-13,0.7,0.43,1.09
45,2020-05-13,0.6,0.16,1.85
12,2020-05-13,0.83,0.53,1.27
22,2020-05-13,0.48,0.28,0.79
16,2020-05-13,0.82,0.45,1.44
18,2020-05-13,0.72,0.4,1.27
60,2020-05-13,0.9,0.26,2.52
75,2020-05-13,0.82,0.43,1.47
13,2020-05-13,0.89,0.51,1.5
81,2020-05-13,0.89,0.22,2.84
87,2020-05-13,0.97,0.13,4.07
71,2020-05-13,0.71,0.1,3.52
73,2020-05-13,0.73,0.17,2.32
57,2020-05-13,0.64,0.24,1.5
24,2020-05-13,0.54,0.3,0.93
54,2020-05-13,0.54,0.14,1.56
64,2020-05-13,1.11,0.37,2.81
14,2020-05-13,0.9,0.43,1.78
93,2020-05-13,0.85,0.17,3.09
80,2020-05-13,0.67,0.17,2.08
74,2020-05-13,0.63,0.21,1.69
78,2020-05-13,1.09,0.25,3.58
35,2020-05-13,0.56,0.12,1.75
82,2020-05-13,0.77,0.19,2.29
42,2020-05-13,0.76,0.37,1.47
84,2020-05-13,,,
34,2020-05-13,0.55,0.09,2.05
63,2020-05-13,0.85,0.14,3.23
61,2020-05-13,0.66,0.19,1.91
44,2020-05-13,0.67,0.29,1.38
58,2020-05-13,0.65,0.23,1.5
38,2020-05-13,0.79,0.17,2.63
15,2020-05-13,1.13,0.33,3.16
83,2020-05-13,1.08,0.4,2.5
85,2020-05-13,0.41,0.03,2.35
56,2020-05-13,0.66,0.15,2.08
47,2020-05-13,0.81,0.07,4.53
17,2020-05-13,0.81,0.4,1.53
37,2020-05-13,0.53,0.16,1.43
88,2020-05-13,,,
62,2020-05-13,0.68,0.07,3.43
39,2020-05-13,0.93,0.18,3.01
65,2020-05-13,0.72,0.19,1.99
66,2020-05-13,0.66,0.12,2.39
31,2020-05-13,0.57,0.11,2.01
51,2020-05-13,0.7,0.15,2.31
91,2020-05-13,,,
68,2020-05-13,0.72,0.13,2.93
33,2020-05-13,0.58,0.1,2.08
69,2020-05-13,0.78,0.13,2.98
67,2020-05-13,0.27,0,3.71
94,2020-05-13,0.59,0.03,3.5
76,2020-05-13,0.96,0.14,5.54
50,2020-05-13,0.95,0.26,2.63
86,2020-05-13,0.68,0.06,3.29
92,2020-05-13,,,
96,2020-05-13,,,
95,2020-05-13,,,
89,2020-05-13,0.33,0.01,2.8
98,2020-05-13,0.6,0.03,3.74
20,2020-05-13,,,
10,2020-05-13,,,
21,2020-05-14,0.52,0.33,0.8
23,2020-05-14,0.52,0.28,0.91
