date,total_tests,proportion_positive,test_type
2021-05-26,53,0.113207547169811,PCR
2021-05-27,90,0.0222222222222222,Snabbtester (Antigen)
2021-05-27,68,0.0441176470588235,PCR
2021-05-28,70,0.0285714285714286,Snabbtester (Antigen)
2021-05-28,53,0.0188679245283019,PCR
2021-05-29,46,0,Snabbtester (Antigen)
2021-05-29,22,0,PCR
2021-05-30,43,0,Snabbtester (Antigen)
2021-05-30,22,0,PCR
2021-05-31,99,0.0202020202020202,Snabbtester (Antigen)
2021-05-31,68,0,PCR
2021-06-01,84,0.0119047619047619,Snabbtester (Antigen)
2021-06-01,57,0.0701754385964912,PCR
2021-06-02,86,0,Snabbtester (Antigen)
2021-06-02,53,0.0188679245283019,PCR
2021-06-03,87,0.0114942528735632,Snabbtester (Antigen)
2021-06-03,50,0.06,PCR
2021-06-04,75,0,Snabbtester (Antigen)
2021-06-04,37,0,PCR
2021-06-05,35,0,Snabbtester (Antigen)
2021-06-05,25,0.04,PCR
2021-06-06,54,0,Snabbtester (Antigen)
2021-06-06,32,0,PCR
2021-06-07,103,0.00970873786407767,Snabbtester (Antigen)
2021-06-07,59,0.0338983050847458,PCR
2021-06-08,72,0,Snabbtester (Antigen)
2021-06-08,46,0.0434782608695652,PCR
2021-06-09,82,0,Snabbtester (Antigen)
2021-06-09,43,0,PCR
2021-06-10,89,0,Snabbtester (Antigen)
2021-06-10,44,0.0227272727272727,PCR
2021-06-11,86,0.0465116279069768,Snabbtester (Antigen)
2021-06-11,50,0.02,PCR
2021-06-12,49,0,Snabbtester (Antigen)
2021-06-12,26,0,PCR
2021-06-13,59,0,Snabbtester (Antigen)
2021-06-13,27,0,PCR
2021-06-14,106,0,Snabbtester (Antigen)
2021-06-14,55,0.0363636363636364,PCR
2021-06-15,99,0,Snabbtester (Antigen)
2021-06-15,58,0.0172413793103448,PCR
2021-06-16,78,0,Snabbtester (Antigen)
2021-06-16,41,0,PCR
2021-06-17,114,0.0175438596491228,Snabbtester (Antigen)
2021-06-17,48,0,PCR
2021-06-18,96,0,Snabbtester (Antigen)
2021-06-18,47,0.0425531914893617,PCR
2021-06-19,47,0,Snabbtester (Antigen)
2021-06-19,27,0,PCR
2021-06-20,47,0,Snabbtester (Antigen)
2021-06-20,17,0,PCR
2021-06-21,93,0.010752688172043,Snabbtester (Antigen)
2021-06-21,48,0,PCR
2021-06-22,76,0,Snabbtester (Antigen)
2021-06-22,33,0.0303030303030303,PCR
2021-06-23,85,0.0235294117647059,Snabbtester (Antigen)
2021-06-23,42,0.0238095238095238,PCR
2021-06-24,90,0,Snabbtester (Antigen)
2021-06-24,38,0.0263157894736842,PCR
2021-06-25,51,0,Snabbtester (Antigen)
2021-06-25,16,0,PCR
2021-06-26,46,0,Snabbtester (Antigen)
2021-06-26,26,0.0384615384615385,PCR
2021-06-27,56,0.0178571428571429,Snabbtester (Antigen)
2021-06-27,26,0,PCR
2021-06-28,104,0,Snabbtester (Antigen)
2021-06-28,50,0.02,PCR
2021-06-29,63,0,Snabbtester (Antigen)
2021-06-29,32,0,PCR
2021-06-30,59,0.0338983050847458,Snabbtester (Antigen)
2021-06-30,35,0.0285714285714286,PCR
2021-07-01,78,0.0256410256410256,Snabbtester (Antigen)
2021-07-01,40,0.025,PCR
2021-07-02,73,0.0136986301369863,Snabbtester (Antigen)
2021-07-02,34,0.0294117647058824,PCR
2021-07-03,44,0,Snabbtester (Antigen)
2021-07-03,16,0,PCR
2021-07-04,41,0,Snabbtester (Antigen)
2021-07-04,14,0,PCR
2021-07-05,68,0,Snabbtester (Antigen)
2021-07-05,37,0,PCR
2021-07-06,68,0,Snabbtester (Antigen)
2021-07-06,27,0,PCR
2021-07-07,57,0,Snabbtester (Antigen)
2021-07-07,20,0,PCR
2021-07-08,57,0.0175438596491228,Snabbtester (Antigen)
2021-07-08,31,0.032258064516129,PCR
2021-07-09,56,0,Snabbtester (Antigen)
2021-07-09,18,0.0555555555555556,PCR
2021-07-10,33,0.0606060606060606,Snabbtester (Antigen)
2021-07-10,13,0,PCR
2021-07-11,38,0,Snabbtester (Antigen)
2021-07-11,11,0,PCR
2021-07-12,68,0,Snabbtester (Antigen)
2021-07-12,29,0.0689655172413793,PCR
2021-07-13,50,0,Snabbtester (Antigen)
2021-07-13,21,0,PCR
2021-07-14,48,0,Snabbtester (Antigen)
2021-07-14,11,0,PCR
2021-07-15,46,0,Snabbtester (Antigen)
2021-07-15,22,0,PCR
2021-07-16,46,0,Snabbtester (Antigen)
2021-07-16,19,0.0526315789473684,PCR
2021-07-17,48,0,Snabbtester (Antigen)
2021-07-17,15,0,PCR
2021-07-18,32,0,Snabbtester (Antigen)
2021-07-18,9,0,PCR
2021-07-19,62,0,Snabbtester (Antigen)
2021-07-19,36,0,PCR
2021-07-20,39,0,Snabbtester (Antigen)
2021-07-20,23,0.0434782608695652,PCR
2021-07-21,43,0,Snabbtester (Antigen)
2021-07-21,35,0,PCR
2021-07-22,49,0,Snabbtester (Antigen)
2021-07-22,21,0.0476190476190476,PCR
2021-07-23,46,0,Snabbtester (Antigen)
2021-07-23,23,0,PCR
2021-07-24,34,0.0294117647058824,Snabbtester (Antigen)
2021-07-24,10,0,PCR
2021-07-25,29,0,Snabbtester (Antigen)
2021-07-25,6,0,PCR
2021-07-26,65,0,Snabbtester (Antigen)
2021-07-26,34,0,PCR
2021-07-27,38,0,Snabbtester (Antigen)
2021-07-27,27,0.037037037037037,PCR
2021-07-28,50,0,Snabbtester (Antigen)
2021-07-28,28,0.0714285714285714,PCR
2021-07-29,57,0.0526315789473684,Snabbtester (Antigen)
2021-07-29,27,0.0740740740740741,PCR
2021-07-30,55,0,Snabbtester (Antigen)
2021-07-30,25,0.04,PCR
2021-07-31,41,0,Snabbtester (Antigen)
2021-07-31,19,0.0526315789473684,PCR
2021-08-01,38,0,Snabbtester (Antigen)
2021-08-01,17,0,PCR
2021-08-02,74,0,Snabbtester (Antigen)
2021-08-02,44,0.0909090909090909,PCR
2021-08-03,42,0,Snabbtester (Antigen)
2021-08-03,28,0.0357142857142857,PCR
2021-08-04,38,0.0263157894736842,Snabbtester (Antigen)
2021-08-04,29,0,PCR
2021-08-05,51,0,Snabbtester (Antigen)
2021-08-05,35,0.0285714285714286,PCR
